day,time,course_code,room_code
Thursday,6 1:25 - 2:20,MAT2501,NS06
Thursday,7 2:30 - 3:25,CSE2251,NS06
Thursday,8 3:25 - 4:15,CSE2258,NS06
Friday,1 8:50 - 9:45,CSE2271,NS06
Friday,2 9:45 - 10:40,CSE2251,NS06
Friday,3 10:50 - 11:45,APT4002,NS06
Friday,6 1:25 - 2:20,CSE1500,NS06
Friday,7 2:30 - 3:25,CSE2254,LFL02
Monday,1 8:50 - 9:45,CSE2253,QS05
Monday,2 9:45 - 10:40,CDV2000,QS05
Monday,3 10:50 - 11:45,CSE2254,LTL01
Monday,6 1:25 - 2:20,CSE2257,QS05
Monday,7 2:30 - 3:25,CSE2271,QS05
Tuesday,1 8:50 - 9:45,CSE2257,QS05
Tuesday,2 9:45 - 10:40,MAT2501,QS05
Tuesday,3 10:50 - 11:45,APT4002,QS05
Tuesday,6 1:25 - 2:20,CSE2251,QS05
Tuesday,7 2:30 - 3:25,CDV2000,QS05
Wednesday,1 8:50 - 9:45,CSE2252,LTL03
Wednesday,3 10:50 - 11:45,MAT2501,QS05
Wednesday,4 11:45 - 12:35,CSE1500,QS05
Wednesday,6 1:25 - 2:20,CSE2257,QS05
Thursday,1 8:50 - 9:45,CSE1500,QS05
Thursday,2 9:45 - 10:40,CSE2271,QS05
Thursday,3 10:50 - 11:45,MAT2501,QS05
Thursday,4 11:45 - 12:35,CDV2000,QS05
Thursday,6 1:25 - 2:20,CSE2251,QS05
Thursday,7 2:30 - 3:25,CSE2253,QS05
Friday,3 10:50 - 11:45,MAT2501,QS05
Friday,4 11:45 - 12:35,CSE2251,QS05
Friday,6 1:25 - 2:20,CSE2271,QS05
Friday,7 2:30 - 3:25,CSE2253,QS05
Monday,3 10:50 - 11:45,CSE2251,QS06
Monday,4 11:45 - 12:35,CSE2271,QS06
Monday,6 1:25 - 2:20,CDV2000,QS06
Monday,7 2:30 - 3:25,CSE2253,QS06
Tuesday,1 8:50 - 9:45,CSE2254,LTL01
